layer,type,shape,params,recommended_mode,w_bits,a_bits,mse,mae,max_abs,cos,baseline_ms,layer_ms,peak_mem_MB
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,1.49405e-06,0.000531126775,0.023781694475,0.9999991998,2910.9725,2737.145,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,1.51685e-06,0.000594550025,0.01469576175,0.99999919475,2910.9725,2721.3025,
up_blocks.0.resnets.2.conv_shortcut,Conv2d,"(1280, 2560, 1, 1)",3278080,W8A8,8,8,1.52795e-06,0.00071758775,0.014942795049999999,0.999999158375,2910.9725,3585.6850000000004,
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A8,8,8,1.5296749999999999e-06,0.00086483895,0.013782769425,0.999999073225,2910.9725,2757.0675,
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_k,Linear,"(640, 640)",409600,W8A8,8,8,1.5308249999999999e-06,0.0007522951,0.0247159004,0.99999909255,2910.9725,2722.2475,
mid_block.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W8A8,8,8,1.566525e-06,0.000727179925,0.01560872795,0.99999910955,2910.9725,2801.385,
up_blocks.0.resnets.1.conv_shortcut,Conv2d,"(1280, 2560, 1, 1)",3278080,W8A8,8,8,1.622275e-06,0.000727278475,0.016261875624999998,0.99999910805,2910.9725,2765.15,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(640, 640)",409600,W8A8,8,8,1.83605e-06,0.000643624425,0.015126301925,0.999999017225,2910.9725,2722.865,
down_blocks.3.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8,2.114225e-06,0.0005614937000000001,0.016353329175,0.9999989065,2910.9725,2753.6175000000003,
mid_block.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,2.128725e-06,0.000647819225,0.014789495625,0.9999989061750001,2910.9725,2787.4275,
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(640, 640)",409600,W8A8,8,8,2.261425e-06,0.001075736925,0.019204192774999997,0.99999865395,2910.9725,2726.4075,
down_blocks.1.resnets.1.time_emb_proj,Linear,"(640, 1280)",819840,W8A8,8,8,2.358125e-06,0.000990228025,0.0149651156,0.999998402775,2910.9725,2730.4175,
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(640, 640)",409600,W8A8,8,8,2.622575e-06,0.0006528096000000001,0.019911667350000002,0.99999864045,2910.9725,2744.2425,
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W8A8,8,8,2.8056e-06,0.001152051275,0.01828056015,0.9999983761,2910.9725,2752.2,
time_embedding.linear_1,Linear,"(1280, 320)",410880,W8A8,8,8,2.9562250000000002e-06,0.00102645795,0.01799268275,0.9999984654,2910.9725,2702.215,
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(640, 640)",409600,W8A8,8,8,2.96775e-06,0.001182486475,0.021799594149999997,0.9999982224,2910.9725,2698.4775,
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A8,8,8,3.0243749999999997e-06,0.00080800215,0.027606435125,0.99999839285,2910.9725,2706.8450000000003,
up_blocks.2.resnets.2.time_emb_proj,Linear,"(640, 1280)",819840,W8A8,8,8,3.101975e-06,0.00140823315,0.01329617205,0.9999982109250001,2910.9725,2755.855,
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A8,8,8,3.159575e-06,0.001305505525,0.0191969052,0.999998253875,2910.9725,2793.6025,
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A8,8,8,3.3945e-06,0.00129701455,0.016862466925,0.999997756325,2910.9725,2738.7925,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,3.4612e-06,0.0008732734,0.02788614295,0.999998174325,2910.9725,2780.8725,
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,3.482925e-06,0.0010352851,0.027613498275,0.999998062925,2910.9725,2841.1800000000003,
up_blocks.3.resnets.2.time_emb_proj,Linear,"(320, 1280)",409920,W8A8,8,8,3.5364249999999998e-06,0.0014694586,0.00774231365,0.9999978374,2910.9725,2829.63,
